Dia_Refeicao,Data,Refeição,Campus,Nota1,Nota2,Nota3,Nota4,Nota5,Cardápio,Avaliações
Sex_Alm_SM_S28,2024-07-12,Alm,SM,0,3,12,3,0,VACA ATOLADA,18
Sex_Jan_SM_S28,2024-07-12,Jan,SM,1,3,1,7,4,FRANGO XADREZ,16
Sab_Alm_SM_S28,2024-07-13,Alm,SM,0,2,8,2,4,QUIBE DE CARNE COM QUEIJO E PRESUNTO,16
Seg_Alm_SM_S29,2024-07-15,Alm,SM,0,2,2,16,3,ISCA DE FRANCO À PARMEGIANA,23
Seg_Jan_SM_S29,2024-07-15,Jan,SM,0,0,6,9,6,LASANHA DE CARNE BOVINA,21
Qua_Alm_SM_S29,2024-07-17,Alm,SM,1,1,2,10,6,CUBOS BOVINO AO MOLHO MADEIRA,20
Qua_Jan_SM_S29,2024-07-17,Jan,SM,2,0,0,4,11,MARAVILHA DE FRANCO,17
Qui_Alm_SM_S29,2024-07-18,Alm,SM,0,0,2,4,12,ARROZ CARRETERIO,18
Qui_Jan_SM_S29,2024-07-18,Jan,SM,0,0,0,0,0,BIFE DE PANELA,0
Sex_Alm_SM_S29,2024-07-19,Alm,SM,2,0,2,13,19,FELJOADA,36
Sex_Jan_SM_S29,2024-07-19,Jan,SM,0,3,0,5,9,PEIXE À CUBANA,17
Sab_Alm_SM_S29,2024-07-20,Alm,SM,1,1,0,3,10,CUBOS AO MOLHO DE MOSTARDA,15
Seg_Alm_SM_S31,2024-07-22,Alm,SM,6,2,3,11,3,FRICASSÊ DE FRANGO,25
Seg_Jan_SM_S31,2024-07-22,Jan,SM,0,2,11,12,4,CUBOS BOVINO AO MOLHO FERRUGEM,29
Ter_Alm_SM_S31,2024-07-23,Alm,SM,0,0,0,0,0,BIFE SUÍNO AO MOLHO BECHAMEL,0
Ter_Jan_SM_S31,2024-07-23,Jan,SM,3,6,12,9,9,ISCA DE PEIXE À MILANESA,39
Qua_Alm_SM_S31,2024-07-24,Alm,SM,0,4,4,13,2,FRANGO ACEBOLADO,23
Qua_Jan_SM_S31,2024-07-24,Jan,SM,0,3,8,9,12,ROCAMBOLE DE CARNE COM CENOURA E BACON,32
Qui_Alm_SM_S31,2024-07-25,Alm,SM,0,0,4,9,6,CARNE DE PANELA,19
Qui_Jan_SM_S31,2024-07-25,Jan,SM,0,0,0,7,6,ISCA DE FRANGO AO MOLHO DE TOMATE,13
Sex_Alm_SM_S31,2024-07-26,Alm,SM,0,1,7,3,7,FRANGO AO MOLHO DE AÇAFRÃO,18
Sex_Jan_SM_S31,2024-07-26,Jan,SM,3,0,4,9,0,BIFE BOVINO AO CREME DE CEBOLA,16
Sab_Alm_SM_S31,2024-07-27,Alm,SM,1,0,5,3,5,ISCA BOVINA AO MOLHO MADEIRA,14
Seg_Alm_SM_S32,2024-07-29,Alm,SM,2,2,3,45,38,CUBOS BOVINO ACEBOLADO,90
Seg_Jan_SM_S32,2024-07-29,Jan,SM,8,8,3,16,14,FRANGO AO MOLHO BECHAMEL,49
Ter_Alm_SM_S32,2024-07-30,Alm,SM,16,2,19,25,11,ISCA DE FRANGO COM TOMATE E PIMENTÃO,73
Ter_Jan_SM_S32,2024-07-30,Jan,SM,2,3,13,7,15,ESTROGONOFE DE CARNE,40
Qua_Alm_SM_S32,2024-07-31,Alm,SM,2,7,25,22,16,CARNE MOÍDA À PARMEGIANA,72
Qua_Jan_SM_S32,2024-07-31,Jan,SM,0,3,7,16,36,LASANHA DE FRANGO,62
Qui_Alm_SM_S32,2024-08-01,Alm,SM,1,4,8,16,6,,35
Qui_Jan_SM_S32,2024-08-01,Jan,SM,16,3,5,4,3,,31
Sex_Alm_SM_S32,2024-08-02,Alm,SM,0,3,8,23,15,,49
Sex_Jan_SM_S32,2024-08-02,Jan,SM,0,0,1,7,36,,44
Sab_Alm_SM_S32,2024-08-03,Alm,SM,0,1,1,7,19,,28
Seg_Alm_SM_S33,2024-08-05,Alm,SM,1,4,9,17,21,,52
Seg_Jan_SM_S33,2024-08-05,Jan,SM,1,0,6,21,17,,45
Ter_Alm_SM_S33,2024-08-06,Alm,SM,1,1,7,18,15,,42
Ter_Jan_SM_S33,2024-08-06,Jan,SM,2,0,2,18,35,,57
Qua_Alm_SM_S33,2024-08-07,Alm,SM,2,4,4,9,24,,43
Qua_Jan_SM_S33,2024-08-07,Jan,SM,1,1,13,13,9,,37
Qui_Alm_SM_S33,2024-08-08,Alm,SM,0,0,0,0,0,,0
Qui_Jan_SM_S33,2024-08-08,Jan,SM,0,0,0,0,0,,0
Sex_Alm_SM_S33,2024-08-09,Alm,SM,5,0,4,10,28,,47
Sex_Jan_SM_S33,2024-08-09,Jan,SM,0,0,3,0,31,,34
Sab_Alm_SM_S33,2024-08-10,Alm,SM,6,1,12,3,3,,25
Seg_Alm_SM_S34,2024-08-12,Alm,SM,3,6,43,19,16,,87
Seg_Jan_SM_S34,2024-08-12,Jan,SM,2,0,5,18,54,,79
Ter_Alm_SM_S34,2024-08-13,Alm,SM,9,5,10,17,43,,84
Ter_Jan_SM_S34,2024-08-13,Jan,SM,2,3,7,3,14,,29
Qua_Alm_SM_S34,2024-08-14,Alm,SM,1,2,5,34,51,,93
Qua_Jan_SM_S34,2024-08-14,Jan,SM,2,5,5,22,28,,62
Qui_Alm_SM_S34,2024-08-15,Alm,SM,0,8,15,34,28,,85
Qui_Jan_SM_S34,2024-08-15,Jan,SM,2,1,2,10,34,,49
Sex_Alm_SM_S34,2024-08-16,Alm,SM,4,5,18,15,19,,61
Sex_Jan_SM_S34,2024-08-16,Jan,SM,0,4,7,19,40,,70
Sab_Alm_SM_S34,2024-08-17,Alm,SM,0,1,0,0,18,,19
Seg_Alm_SM_S35,,Alm,SM,13,11,12,25,25,,86
Seg_Jan_SM_S35,,Jan,SM,1,2,3,14,39,,59
Ter_Alm_SM_S35,,Alm,SM,5,2,13,43,19,,82
Ter_Jan_SM_S35,,Jan,SM,3,1,23,18,19,,64
Qua_Alm_SM_S35,,Alm,SM,8,2,13,41,17,,81
Qua_Jan_SM_S35,,Jan,SM,0,5,21,33,21,,80
Qui_Alm_SM_S35,,Alm,SM,1,2,16,18,23,,60
Qui_Jan_SM_S35,,Jan,SM,1,0,7,28,43,,79
Sex_Alm_SM_S35,,Alm,SM,4,1,12,20,69,,106
Sex_Jan_SM_S35,,Jan,SM,1,0,13,9,27,,50
Sab_Alm_SM_S35,,Alm,SM,0,0,0,0,0,,0
Seg_Alm_SM_S36,,Alm,SM,5,9,25,41,23,,103
Seg_Jan_SM_S36,,Jan,SM,4,2,10,18,44,,78
Ter_Alm_SM_S36,,Alm,SM,3,3,9,38,49,,102
Ter_Jan_SM_S36,,Jan,SM,1,2,5,34,41,,83
Qua_Alm_SM_S36,,Alm,SM,2,0,22,28,31,,83
Qua_Jan_SM_S36,,Jan,SM,6,1,2,5,59,,73
Qui_Alm_SM_S36,,Alm,SM,3,7,11,23,31,,75
Qui_Jan_SM_S36,,Jan,SM,0,2,3,30,20,,55
Sex_Alm_SM_S36,,Alm,SM,3,3,7,19,27,,59
Sex_Jan_SM_S36,,Jan,SM,2,1,0,11,12,,26
Sab_Alm_SM_S36,,Alm,SM,0,0,0,0,0,,0
Seg_Alm_SM_S37,,Alm,SM,0,2,16,37,17,,72
Seg_Jan_SM_S37,,Jan,SM,3,0,6,15,69,,93
Ter_Alm_SM_S37,,Alm,SM,10,5,11,38,8,,72
Ter_Jan_SM_S37,,Jan,SM,1,2,9,26,22,,60
Qua_Alm_SM_S37,,Alm,SM,2,2,10,21,25,,60
Qua_Jan_SM_S37,,Jan,SM,1,1,4,16,31,,53
Qui_Alm_SM_S37,,Alm,SM,4,3,11,30,4,,52
Qui_Jan_SM_S37,,Jan,SM,11,9,12,12,15,,59
Sex_Alm_SM_S37,,Alm,SM,1,1,5,16,59,,82
Sex_Jan_SM_S37,,Jan,SM,0,2,6,10,21,,39
Sab_Alm_SM_S37,,Alm,SM,1,0,3,12,37,,53
