DATA,TIPO_REFEICAO,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL,DIA_SEMANA,DEMANDA
2024-04-10,jantar,173,1,15.15,1271,3813,1445,3828.15,3,NORMAL
2024-04-11,almoço,152,0,0,1037,3111,1189,3111,4,ALTA
2024-04-11,jantar,214,1,15.15,1680,5040,1895,5055.15,4,ALTA
2024-04-12,almoço,119,0,0,680,2040,799,2040,5,NORMAL
2024-04-12,jantar,189,0,0,1287,3861,1476,3861,5,NORMAL
2024-04-13,jantar,112,0,0,733,2199,845,2199,6,ALTA
2024-04-15,almoço,147,0,0,923,2769,1070,2769,1,NORMAL
2024-04-15,jantar,198,1,15.15,1515,4545,1714,4560.15,1,NORMAL
2024-04-16,almoço,174,0,0,1002,3006,1176,3006,2,NORMAL
2024-04-16,jantar,201,0,0,1355,4065,1556,4065,2,NORMAL
2024-04-17,almoço,170,0,0,1150,3450,1320,3450,3,ALTA
2024-04-17,jantar,191,3,45.45,1416,4248,1610,4293.45,3,NORMAL
2024-04-18,almoço,140,0,0,909,2727,1049,2727,4,NORMAL
2024-04-18,jantar,196,0,0,1405,4215,1601,4215,4,NORMAL
2024-04-19,almoço,102,0,0,543,1629,645,1629,5,NORMAL
2024-04-19,jantar,176,0,0,1205,3615,1381,3615,5,NORMAL
2024-04-20,jantar,109,0,0,683,2049,792,2049,6,NORMAL
2024-04-22,almoço,131,0,0,850,2550,981,2550,1,NORMAL
2024-04-22,jantar,185,2,30.3,1299,3897,1486,3927.3,1,NORMAL
2024-04-23,almoço,119,0,0,879,2637,998,2637,2,NORMAL
2024-04-23,jantar,159,1,15.15,928,2784,1088,2799.15,2,NORMAL
2024-04-24,almoço,118,0,0,721,2163,839,2163,3,NORMAL
2024-04-24,jantar,149,1,15.15,1193,3579,1343,3594.15,3,NORMAL
2024-04-25,almoço,96,0,0,646,1938,742,1938,4,NORMAL
2024-04-25,jantar,142,2,30.3,996,2988,1140,3018.3,4,NORMAL
2024-04-26,jantar,117,1,15.15,859,2577,977,2592.15,5,NORMAL
